source_id,source_name,source_type,url,pathways_supported,skills_supported,evidence_summary
S001,FYP Project Proposal,project_document,project briefs/FYP Project Proposal.md,data_analyst;ml_engineer;software_developer,python;sql;excel;statistics;data_visualisation;data_cleaning;machine_learning;model_evaluation;deployment;programming;oop;apis;databases;testing;version_control;dashboards,The proposal defines the three target pathways and lists the initial important skills for each pathway.
S002,Original Project Ideas Brief,project_document,project briefs/Project_Ideas(1.1).md,data_analyst;ml_engineer;software_developer,recommendation_systems;machine_learning;nlp;data_mining;evaluation,The brief requires a data-driven educational recommender with machine learning NLP-style text features and evaluation metrics.
S003,Coursera IBM Data Analyst Professional Certificate,learning_platform,https://www.coursera.org/professional-certificates/ibm-data-analyst,data_analyst,python;sql;excel;data_visualisation;dashboards;data_cleaning,The certificate page describes job-ready data analyst skills including Python Excel SQL spreadsheets BI tools and data visualisation.
S004,DataCamp Career Tracks,learning_platform,https://www.datacamp.com/tracks/career,data_analyst;ml_engineer;software_developer,sql;python;data_visualisation;machine_learning;deployment;testing;version_control;programming,DataCamp lists role-based career tracks including Data Analyst Machine Learning Engineer Python Developer SQL Server Developer and Java Developer.
S005,DataCamp Machine Learning Engineer Track,learning_platform,https://www.datacamp.com/tracks/machine-learning-engineer/,ml_engineer,python;machine_learning;model_evaluation;deployment;version_control,The track describes MLOps model deployment operations monitoring maintenance Docker MLflow and Python as important ML engineering capabilities.
S006,Coursera Deploying Machine Learning Models,learning_platform,https://www.coursera.org/learn/deploying-machine-learning-models,ml_engineer,python;machine_learning;model_evaluation;deployment;apis,The course lists model deployment Python web frameworks APIs monitoring and recommender implementation topics.
S007,Meta Back-End Developer Professional Certificate on Coursera,learning_platform,https://www.coursera.org/professional-certificates/meta-back-end-developer,software_developer,apis;databases;sql;testing;programming;version_control,The certificate page lists backend development API design API testing SQL relational databases database design and web applications.
S008,freeCodeCamp Curriculum API,learning_platform,https://curriculum-db.freecodecamp.org/,software_developer,programming;apis;databases;testing;version_control,The curriculum metadata source documents the full-stack curriculum structure and supports using freeCodeCamp as a software-development learning-resource source.
S009,SkillsFuture Skills Demand Report,career_skills_source,https://www.skillsfuture.gov.sg/docs/default-source/skills-report-2023/sdfe-2023.pdf,data_analyst;ml_engineer;software_developer,python;sql;data_visualisation;databases;programming,SkillsFuture skills listings include Python SQL Tableau database and programming-related skills relevant to Singapore career context.
S010,Project implementation judgement,design_decision,src/edu_recommender/models.py,data_analyst;ml_engineer;software_developer,all,Weights are operationalised as a prototype taxonomy and should be refined as more job ads or user evidence are collected.
